time, sensor_id, node_x, node_y, T_in, T_out, signal_strength,
46.88, 0, 1.79621, -0.115357, 15.7584, 8.29709, 1.68308, 
47.008, 0, 1.79621, -0.115357, 15.7428, 8.27934, 1.67391, 
47.136, 0, 1.79621, -0.115357, 15.6441, 8.77282, 1.66464, 
47.264, 0, 1.79621, -0.115357, 15.9627, 8.82679, 1.65529, 
47.392, 0, 1.79621, -0.115357, 15.9827, 8.34068, 1.64584, 
47.52, 0, 1.79621, -0.115357, 15.8522, 8.75598, 1.63632, 
47.648, 0, 1.79621, -0.115357, 15.8577, 9.1532, 1.62672, 
47.776, 0, 1.79621, -0.115357, 15.8135, 9.05608, 1.61706, 
47.904, 0, 1.79621, -0.115357, 15.8228, 8.6628, 1.60732, 
48.032, 0, 1.79621, -0.115357, 15.8566, 8.40124, 1.59752, 
48.16, 0, 1.79621, -0.115357, 16.0768, 8.56081, 1.58767, 
48.288, 0, 1.79621, -0.115357, 15.9729, 8.30958, 1.57776, 
195.616, 1, 4.62, 1.21, 16.0688, 8.51758, 1.57176, 
195.744, 1, 4.62, 1.21, 16.9937, 8.36272, 1.58252, 
195.872, 1, 4.62, 1.21, 16.7299, 8.91545, 1.59321, 
196, 1, 4.62, 1.21, 16.3468, 9.12531, 1.60387, 
196.128, 1, 4.62, 1.21, 16.853, 8.19345, 1.6145, 
196.256, 1, 4.62, 1.21, 17.1197, 7.90394, 1.62511, 
196.384, 1, 4.62, 1.21, 16.7165, 8.89058, 1.63567, 
196.512, 1, 4.62, 1.21, 16.1704, 8.72376, 1.64623, 
196.64, 1, 4.62, 1.21, 16.4421, 8.85855, 1.65674, 
196.768, 1, 4.62, 1.21, 17.3502, 8.48934, 1.66722, 
196.896, 1, 4.62, 1.21, 16.5162, 8.72746, 1.67764, 
197.024, 1, 4.62, 1.21, 16.4379, 8.79914, 1.68799, 
197.152, 1, 4.62, 1.21, 16.8676, 8.67884, 1.69822, 
197.28, 1, 4.62, 1.21, 16.1647, 8.50051, 1.70825, 
197.408, 1, 4.62, 1.21, 16.7686, 8.42268, 1.7181, 
197.536, 1, 4.62, 1.21, 16.6267, 8.59458, 1.72787, 
197.664, 1, 4.62, 1.21, 16.3124, 8.23671, 1.73774, 
197.792, 1, 4.62, 1.21, 16.4769, 8.5216, 1.74758, 
197.92, 1, 4.62, 1.21, 16.6959, 8.51905, 1.75732, 
198.048, 1, 4.62, 1.21, 16.7229, 8.74554, 1.76704, 
198.176, 1, 4.62, 1.21, 16.1604, 9.03671, 1.77662, 
198.304, 1, 4.62, 1.21, 16.4905, 8.69817, 1.7861, 
198.432, 1, 4.62, 1.21, 16.7403, 8.6574, 1.79539, 
198.56, 1, 4.62, 1.21, 17.0163, 7.92579, 1.80469, 
198.688, 1, 4.62, 1.21, 16.1817, 8.62318, 1.81383, 
198.816, 1, 4.62, 1.21, 16.515, 8.42009, 1.82287, 
198.944, 1, 4.62, 1.21, 16.5924, 8.50726, 1.83165, 
199.072, 1, 4.62, 1.21, 16.9051, 8.51129, 1.84035, 
199.2, 1, 4.62, 1.21, 16.2461, 8.39063, 1.849, 
199.328, 1, 4.62, 1.21, 16.331, 7.89415, 1.85739, 
199.456, 1, 4.62, 1.21, 16.1421, 8.86902, 1.86563, 
199.584, 1, 4.62, 1.21, 16.7487, 7.96686, 1.87383, 
199.712, 1, 4.62, 1.21, 16.483, 8.51869, 1.88185, 
199.84, 1, 4.62, 1.21, 16.9746, 8.27252, 1.88969, 
199.968, 1, 4.62, 1.21, 16.5979, 8.3693, 1.89734, 
200.096, 1, 4.62, 1.21, 16.6961, 8.60214, 1.9048, 
200.224, 1, 4.62, 1.21, 16.4197, 8.41301, 1.91206, 
200.352, 1, 4.62, 1.21, 16.5449, 8.434, 1.91912, 
200.48, 1, 4.62, 1.21, 16.5202, 8.69506, 1.92598, 
200.608, 1, 4.62, 1.21, 17.134, 8.49866, 1.93262, 
